대여시간,대여장소,반납시간,반납장소
2017-01-01 0:00,419,2017-01-01 0:21,914
2017-01-01 0:01,825,2017-01-01 0:15,822
2017-01-01 0:05,906,2017-01-01 0:16,931
2017-01-01 0:05,906,2017-01-01 0:29,912
2017-01-01 0:05,330,2017-01-01 0:23,171
2017-01-01 0:06,347,2017-01-01 0:18,344
2017-01-01 0:06,334,2017-01-01 0:29,354
2017-01-01 0:06,175,2017-01-01 1:07,175
2017-01-01 0:06,925,2017-01-01 0:16,933
2017-01-01 0:07,230,2017-01-01 2:42,266
2017-01-01 0:07,172,2017-01-01 0:16,114
2017-01-01 0:08,111,2017-01-01 0:25,153
2017-01-01 0:08,817,2017-01-01 0:17,819
2017-01-01 0:08,328,2017-01-01 0:25,358
2017-01-01 0:10,230,2017-01-01 0:13,232
2017-01-01 0:10,165,2017-01-01 0:17,192
2017-01-01 0:11,194,2017-01-01 0:24,403
2017-01-01 0:11,933,2017-01-01 0:22,907
2017-01-01 0:12,327,2017-01-01 0:16,326
2017-01-01 0:13,900,2017-01-01 0:32,906
2017-01-01 0:13,327,2017-01-01 0:32,327
2017-01-01 0:14,148,2017-01-01 0:26,130
2017-01-01 0:16,927,2017-01-01 0:38,902
2017-01-01 0:17,639,2017-01-01 0:31,604
2017-01-01 0:17,326,2017-01-01 0:31,327
2017-01-01 0:17,113,2017-01-01 0:33,170
2017-01-01 0:17,326,2017-01-01 0:33,160
2017-01-01 0:18,236,2017-01-01 0:30,247
2017-01-01 0:18,361,2017-01-01 0:30,341
2017-01-01 0:19,112,2017-01-01 0:34,112
2017-01-01 0:19,112,2017-01-01 0:34,112
2017-01-01 0:22,300,2017-01-01 0:31,348
2017-01-01 0:22,237,2017-01-01 0:31,254
2017-01-01 0:24,315,2017-01-01 0:40,359
2017-01-01 0:24,539,2017-01-01 0:34,553
2017-01-01 0:25,315,2017-01-01 0:41,359
2017-01-01 0:26,322,2017-01-01 0:50,386
2017-01-01 0:26,905,2017-01-01 0:35,904
2017-01-01 0:26,308,2017-01-01 1:09,257
2017-01-01 0:27,328,2017-01-01 0:41,346
2017-01-01 0:27,328,2017-01-01 0:41,346
2017-01-01 0:29,213,2017-01-01 0:48,251
2017-01-01 0:29,146,2017-01-01 0:36,119
2017-01-01 0:30,109,2017-01-01 0:36,106
2017-01-01 0:31,114,2017-01-01 1:07,704
2017-01-01 0:32,318,2017-01-01 0:54,388
2017-01-01 0:33,335,2017-01-01 0:59,364
2017-01-01 0:35,307,2017-01-01 0:49,307
2017-01-01 0:35,704,2017-01-01 0:42,706
2017-01-01 0:36,232,2017-01-01 0:56,237
2017-01-01 0:36,300,2017-01-01 0:39,307
2017-01-01 0:36,600,2017-01-01 0:45,602
2017-01-01 0:38,326,2017-01-01 2:02,341
2017-01-01 0:38,819,2017-01-01 0:45,800
2017-01-01 0:39,307,2017-01-01 1:09,146
2017-01-01 0:40,140,2017-01-01 0:48,140
2017-01-01 0:40,139,2017-01-01 0:48,195
2017-01-01 0:41,175,2017-01-01 1:25,171
2017-01-01 0:42,326,2017-01-01 2:02,341
2017-01-01 0:42,119,2017-01-01 1:04,156
2017-01-01 0:43,536,2017-01-01 0:53,537
2017-01-01 0:44,180,2017-01-01 0:50,158
2017-01-01 0:44,536,2017-01-01 0:59,512
2017-01-01 0:44,117,2017-01-01 0:49,188
2017-01-01 0:44,811,2017-01-01 1:08,818
2017-01-01 0:45,916,2017-01-01 0:53,906
2017-01-01 0:45,811,2017-01-01 1:08,818
2017-01-01 0:46,334,2017-01-01 1:41,605
2017-01-01 0:47,240,2017-01-01 0:50,264
2017-01-01 0:48,106,2017-01-01 1:12,104
2017-01-01 0:50,195,2017-01-01 1:31,923
2017-01-01 0:51,185,2017-01-01 1:02,109
2017-01-01 0:52,716,2017-01-01 1:23,716
2017-01-01 0:52,216,2017-01-01 1:13,259
2017-01-01 0:53,318,2017-01-01 0:58,324
2017-01-01 0:55,162,2017-01-01 1:06,124
2017-01-01 0:57,127,2017-01-01 1:10,185
2017-01-01 0:58,223,2017-01-01 1:19,216
2017-01-01 0:58,567,2017-01-01 1:09,512
2017-01-01 1:00,128,2017-01-01 1:16,144
2017-01-01 1:02,540,2017-01-01 1:09,500
2017-01-01 1:02,905,2017-01-01 1:11,903
2017-01-01 1:02,173,2017-01-01 1:45,320
2017-01-01 1:03,107,2017-01-01 1:06,113
2017-01-01 1:04,631,2017-01-01 1:20,539
2017-01-01 1:04,559,2017-01-01 1:20,533
2017-01-01 1:04,173,2017-01-01 1:45,320
2017-01-01 1:04,308,2017-01-01 1:18,171
2017-01-01 1:05,308,2017-01-01 1:18,171
2017-01-01 1:05,109,2017-01-01 1:19,154
2017-01-01 1:06,143,2017-01-01 1:16,134
2017-01-01 1:06,128,2017-01-01 1:14,119
2017-01-01 1:07,248,2017-01-01 1:24,242
2017-01-01 1:07,512,2017-01-01 1:35,809
2017-01-01 1:08,540,2017-01-01 1:41,602
2017-01-01 1:08,704,2017-01-01 1:18,707
2017-01-01 1:08,329,2017-01-01 1:55,562
2017-01-01 1:08,324,2017-01-01 1:37,362
2017-01-01 1:09,402,2017-01-01 1:17,411
2017-01-01 1:09,917,2017-01-01 1:26,908
2017-01-01 1:09,811,2017-01-01 3:24,719
2017-01-01 1:10,146,2017-01-01 1:43,244
2017-01-01 1:10,811,2017-01-01 3:23,719
2017-01-01 1:11,818,2017-01-01 1:45,184
2017-01-01 1:12,128,2017-01-01 1:24,148
2017-01-01 1:13,108,2017-01-01 1:33,239
2017-01-01 1:13,342,2017-01-01 1:31,568
2017-01-01 1:13,818,2017-01-01 1:20,805
2017-01-01 1:15,248,2017-01-01 2:11,340
2017-01-01 1:15,505,2017-01-01 1:24,548
2017-01-01 1:15,324,2017-01-01 1:42,819
2017-01-01 1:16,505,2017-01-01 1:23,548
2017-01-01 1:16,334,2017-01-01 1:19,338
2017-01-01 1:17,318,2017-01-01 1:23,327
